model,accuracy,f1_macro,f1_weighted
Naive Bayes,0.3126133494541446,0.2538001878706666,0.30633812464462024
Logistic Regression (balanced),0.2766260090323957,0.24588977198261394,0.2866497166822464
Linear SVM (balanced),0.27438569040930266,0.23809361515898697,0.2828588397925061
